Song,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Anywhere,Rita Ora,spotify:track:7EI6Iki24tBHAMxtb4xQN2,0.628,0.797,11,-3.953,0,0.0596,0.0364,0.0,0.104,0.321,106.93,audio_features,7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2,215064,4
Book Of Love,Felix Jaehn,spotify:track:47NTskHaXv46jp21vFj8tD,0.656,0.835,9,-4.915,0,0.0278,0.166,0.0116,0.218,0.455,125.023,audio_features,47NTskHaXv46jp21vFj8tD,https://api.spotify.com/v1/tracks/47NTskHaXv46jp21vFj8tD,https://api.spotify.com/v1/audio-analysis/47NTskHaXv46jp21vFj8tD,198439,4
Thunderclouds,Sia,spotify:track:5a8RPWgKSmcGBGcffmIrUi,0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,audio_features,5a8RPWgKSmcGBGcffmIrUi,https://api.spotify.com/v1/tracks/5a8RPWgKSmcGBGcffmIrUi,https://api.spotify.com/v1/audio-analysis/5a8RPWgKSmcGBGcffmIrUi,187027,4
Ensemble,Kids United,spotify:track:0IB4sNc2voixWTSN5QMRAw,0.709,0.629,8,-5.865,1,0.0417,0.0986,0.0,0.101,0.133,115.103,audio_features,0IB4sNc2voixWTSN5QMRAw,https://api.spotify.com/v1/tracks/0IB4sNc2voixWTSN5QMRAw,https://api.spotify.com/v1/audio-analysis/0IB4sNc2voixWTSN5QMRAw,186352,4
hate u love u,Olivia O'Brien,spotify:track:6ATgDc6e4sPn84hvJsAmPt,0.407,0.416,6,-8.915,0,0.174,0.656,0.0,0.0981,0.246,176.947,audio_features,6ATgDc6e4sPn84hvJsAmPt,https://api.spotify.com/v1/tracks/6ATgDc6e4sPn84hvJsAmPt,https://api.spotify.com/v1/audio-analysis/6ATgDc6e4sPn84hvJsAmPt,175467,4
Wohin willst du - Akustikversion 2017,LEA,spotify:track:6p312igBNT1Lax8hFULdY7,0.355,0.119,3,-10.563,1,0.0374,0.928,2.3e-06,0.113,0.327,98.729,audio_features,6p312igBNT1Lax8hFULdY7,https://api.spotify.com/v1/tracks/6p312igBNT1Lax8hFULdY7,https://api.spotify.com/v1/audio-analysis/6p312igBNT1Lax8hFULdY7,253987,4
Das Leben ist schön,Sarah Connor,spotify:track:5yGFNC0OxANueuTsQfLuTA,0.7,0.188,0,-10.419,1,0.0351,0.908,0.0,0.0939,0.358,139.203,audio_features,5yGFNC0OxANueuTsQfLuTA,https://api.spotify.com/v1/tracks/5yGFNC0OxANueuTsQfLuTA,https://api.spotify.com/v1/audio-analysis/5yGFNC0OxANueuTsQfLuTA,197533,4
Wie schön du bist,Sarah Connor,spotify:track:18dqh35M7rcNQ3cTMkTk2a,0.366,0.532,5,-6.054,1,0.034,0.00718,3.79e-06,0.109,0.141,88.05,audio_features,18dqh35M7rcNQ3cTMkTk2a,https://api.spotify.com/v1/tracks/18dqh35M7rcNQ3cTMkTk2a,https://api.spotify.com/v1/audio-analysis/18dqh35M7rcNQ3cTMkTk2a,218546,4
Something Just Like This,One Voice Children's Choir,spotify:track:6MGAweGVjU5IcCtOg4fu0H,0.773,0.611,4,-5.887,1,0.0343,0.67,0.0,0.117,0.911,109.968,audio_features,6MGAweGVjU5IcCtOg4fu0H,https://api.spotify.com/v1/tracks/6MGAweGVjU5IcCtOg4fu0H,https://api.spotify.com/v1/audio-analysis/6MGAweGVjU5IcCtOg4fu0H,128893,4
Ich wünschte du könntest das sehen - From The Voice Of Germany,Dimi Rompos,spotify:track:26yTnIlAuE5Al0NAYgXbgb,0.493,0.382,2,-7.037,0,0.0421,0.588,1.66e-06,0.118,0.257,124.512,audio_features,26yTnIlAuE5Al0NAYgXbgb,https://api.spotify.com/v1/tracks/26yTnIlAuE5Al0NAYgXbgb,https://api.spotify.com/v1/audio-analysis/26yTnIlAuE5Al0NAYgXbgb,216760,4
